task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
MF-01__r_matchfix,MF-01,r_matchfix,cnn,cnn,cnn,True,ex_boundary+nu_residual,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,27145,53279,80424,,267.3851553031709,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-01__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-01__r_matchfix.json
MF-02__r_matchfix,MF-02,r_matchfix,mlp,mlp,mlp,True,ex_dtype+gr_zero,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,20353,29629,49982,,149.56941659282893,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-02__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-02__r_matchfix.json
MF-03__r_matchfix,MF-03,r_matchfix,transformer,transformer,transformer,True,ex_index+nu_scale,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,20194,34431,54625,,159.90360895497724,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-03__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-03__r_matchfix.json
MF-04__r_matchfix,MF-04,r_matchfix,causal_lm,causal_lm,causal_lm,True,nu_sign+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,22970,39337,62307,,224.81671014009044,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-04__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-04__r_matchfix.json
MF-05__r_matchfix,MF-05,r_matchfix,cnn,cnn,cnn,True,ex_boundary+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,28498,116397,144895,,495.7138906060718,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-05__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-05__r_matchfix.json
MF-06__r_matchfix,MF-06,r_matchfix,mlp,mlp,mlp,True,nu_residual+gr_zero,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,23233,36496,59729,,216.77329364907928,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-06__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-06__r_matchfix.json
MF-07__r_matchfix,MF-07,r_matchfix,transformer,transformer,transformer,True,ex_dtype+nu_sign,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,19645,48270,67915,,262.07064669416286,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-07__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-07__r_matchfix.json
MF-08__r_matchfix,MF-08,r_matchfix,causal_lm,causal_lm,causal_lm,True,ex_index+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,20259,39856,60115,,221.74791824189015,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-08__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-08__r_matchfix.json
MF-09__r_matchfix,MF-09,r_matchfix,cnn,cnn,cnn,True,nu_scale+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,20011,26376,46387,,177.84264923399314,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-09__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-09__r_matchfix.json
MF-10__r_matchfix,MF-10,r_matchfix,mlp,mlp,mlp,True,ex_boundary+nu_sign,mixed,True,True,False,,4,False,False,False,pass,fail,fail,pass,pass,three_stage_strict_probe,4,0,4,29323,96853,126176,,513.0969347232021,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-10__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-10__r_matchfix.json
MF-11__r_matchfix,MF-11,r_matchfix,transformer,transformer,transformer,True,ex_boundary+nu_residual+gr_zero,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,32014,81736,113750,,451.8782918099314,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/candidates/MF-11__r_matchfix.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_matchfix/raw/MF-11__r_matchfix.json
