baseline_id,instance_id,fault_id,instance_label,model_id,model_name,model_variant,expected_model_variant,observed_model_variants,model_binding_valid,workload_fingerprint,layer,predicted_layer,layer_correct,diagnosis_complete,scope,runner_case,low_hint,oracle,strict_success,passed,real_llm,blind,fault_triggered,attempts,effective_rounds,patch_count,validation_status,restore_status,regression_passed,failure_reason,runner_error,wall_time_sec
r_hier,EX-01-A,EX-01,A,M1,CNN,cnn,cnn,cnn,True,558837dadb785d9bb0ceb874aea730a95f0046cfbc7c80502bdf0738b83b1257,execution,execution,True,True,candidate,EX-01,False,candidate tensor boundary type probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,15.883952
r_hier,EX-01-B,EX-01,B,M2,Image MLP,mlp,mlp,mlp,True,192f7c1c6597a79387e9157132a96f8d87a56f742abd17974f228ee56b4203a6,execution,execution,True,True,candidate,EX-01,False,candidate tensor boundary type probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,11.850938
r_hier,EX-02-A,EX-02,A,M1,CNN,cnn,cnn,cnn,True,60055617015b7b534c9105300341330988a9a795223e5f007f4579ed99fce6d6,execution,execution,True,True,candidate,EX-02,False,candidate dtype-sensitive matmul probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,11.879917
r_hier,EX-02-B,EX-02,B,M3,Transformer Classifier,transformer,transformer,transformer,True,5ada85d964e5ee884873dc558d7385b82e7fae7f918c0b1f2fa4ce95927cb2d0,execution,execution,True,True,candidate,EX-02,False,candidate dtype-sensitive matmul probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,14.757145
r_hier,EX-03-A,EX-03,A,M1,CNN,cnn,cnn,cnn,True,54b7febc9de112b2350f32a352c7728b06028b188646eb864cb6d8219d142f13,execution,execution,True,True,candidate,EX-03,False,candidate high-rank permutation probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,12.856661
r_hier,EX-03-B,EX-03,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,a399ba4791391e0b4bbde68f90faf61e5d26ab7784f9c92eec4d47ac1b05113e,execution,execution,True,True,candidate,EX-03,False,candidate high-rank permutation probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,17.22896
r_hier,EX-04-A,EX-04,A,M2,Image MLP,mlp,mlp,mlp,True,615cdb78253a74a05430a6fc049e7c66f05be0a270ade12a9a52c2cb6ab92e08,execution,execution,True,True,candidate,EX-04,False,candidate index dtype probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,44.544517
r_hier,EX-04-B,EX-04,B,M3,Transformer Classifier,transformer,transformer,transformer,True,f5ac3428e77cf06b988448345d8664685db979c5ee7ad0ffd50ed78f73e54921,execution,execution,True,True,candidate,EX-04,False,candidate index dtype probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,7.531059
r_hier,EX-05-A,EX-05,A,M2,Image MLP,mlp,mlp,mlp,True,0ed6b9f6bc9277aa2a5ec7d62580351a35a126cc0cafc3744424d15b747551aa,execution,execution,True,True,candidate,EX-05,False,candidate input container contract probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,15.375493
r_hier,EX-05-B,EX-05,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,080db4534e539eb5c08ffc269f82d72aa82f399eda02dd14884bd3832019d1a9,execution,execution,True,True,candidate,EX-05,False,candidate input container contract probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,16.586107
r_hier,EX-06-A,EX-06,A,M3,Transformer Classifier,transformer,transformer,transformer,True,5465f405121cf022aedfc5b6ab927b5d2d0697db682f225c716ef7c4d4fee1f5,execution,execution,True,True,core_operator,,False,tensor boundary type probe,True,True,True,True,True,0,1,1,verified_restored,True,True,,,54.991817
r_hier,EX-06-B,EX-06,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,2ccebd6ab6382baff968aa3c98c4a2c3cdc8c4a9b5ecc70df61f0ac65cccffe7,execution,execution,True,True,core_operator,,False,tensor boundary type probe,False,False,True,True,True,0,0,2,,True,False,wrong_root_cause_hypothesis,,96.174369
r_hier,EX-07-A,EX-07,A,M1,CNN,cnn,cnn,cnn,True,4705cb62322a5d3638c7499444652f8ba0a5bcc04931ab99d662362df4792890,execution,execution,True,True,core_operator,EX-07,False,BF16 embedding private probe,False,False,True,True,True,4,4,2,,True,False,repair_budget_exhausted,,189.263032
r_hier,EX-07-B,EX-07,B,M2,Image MLP,mlp,mlp,mlp,True,e0dd6d335890d3e2d5bd25f51851d845064580773c40c087013b4ca195b9e920,execution,execution,True,True,core_operator,EX-07,False,BF16 embedding private probe,False,False,True,True,True,4,4,1,,True,False,repair_budget_exhausted,,195.555657
r_hier,EX-08-A,EX-08,A,M1,CNN,cnn,cnn,cnn,True,1bcdc90b11a8c53263bb4d71f02166fc203d0d3d94c58c0c0fe329376ba1b4d9,execution,execution,True,True,core_operator,EX-08,False,SDPA boundary private probe,False,False,True,True,True,4,4,2,,True,False,repair_budget_exhausted,,319.320058
r_hier,EX-08-B,EX-08,B,M3,Transformer Classifier,transformer,transformer,transformer,True,9e228b22f4c832613ab849de787e4774448c1931a20d7eb56185112dd680ed0a,execution,execution,True,True,core_operator,EX-08,False,SDPA boundary private probe,True,True,True,True,True,4,4,2,verified_restored,True,True,,,382.606772
r_hier,EX-09-A,EX-09,A,M1,CNN,cnn,cnn,cnn,True,731f0c8d1b62499276018c1acb2325d87d1b8069aa0914a13b52532bd0804d9c,execution,execution,True,True,core_operator,EX-09,False,core overload registry contract probe,True,True,True,True,True,1,1,0,verified_restored,True,True,,,33.029393
r_hier,EX-09-B,EX-09,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,9d9265eb0c8a3218e777a229806befaab4aedd2afa11ec3d673115fc2042aa34,execution,execution,True,True,core_operator,EX-09,False,core overload registry contract probe,True,True,True,True,True,3,3,2,verified_restored,True,True,,,97.482693
r_hier,EX-10-A,EX-10,A,M2,Image MLP,mlp,mlp,mlp,True,032aa663b90d2e6a8d4d7fe85aefa23b79361d87932cd7c301642b91172afe17,execution,execution,True,True,core_operator,EX-10,False,core tuple/Tensor return protocol probe,True,True,True,True,True,1,1,0,verified_restored,True,True,,,45.514269
r_hier,EX-10-B,EX-10,B,M3,Transformer Classifier,transformer,transformer,transformer,True,759c1cc283f0cf31c073dea4980aee2f0f934bdf77e0beecdf561b1efb438fa9,execution,execution,True,True,core_operator,EX-10,False,core tuple/Tensor return protocol probe,True,True,True,True,True,2,2,1,verified_restored,True,True,,,73.440414
