baseline_id,instance_id,fault_id,instance_label,model_id,model_name,model_variant,expected_model_variant,observed_model_variants,model_binding_valid,workload_fingerprint,layer,predicted_layer,layer_correct,diagnosis_complete,scope,runner_case,low_hint,oracle,strict_success,passed,real_llm,blind,fault_triggered,attempts,effective_rounds,patch_count,validation_status,restore_status,regression_passed,failure_reason,runner_error,wall_time_sec
r_hier,EX-01-A,EX-01,A,M1,CNN,cnn,cnn,cnn,True,558837dadb785d9bb0ceb874aea730a95f0046cfbc7c80502bdf0738b83b1257,execution,execution,True,True,candidate,EX-01,False,candidate tensor boundary type probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,12.249282
r_hier,EX-01-B,EX-01,B,M2,Image MLP,mlp,mlp,mlp,True,192f7c1c6597a79387e9157132a96f8d87a56f742abd17974f228ee56b4203a6,execution,execution,True,True,candidate,EX-01,False,candidate tensor boundary type probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,7.865491
r_hier,EX-02-A,EX-02,A,M1,CNN,cnn,cnn,cnn,True,60055617015b7b534c9105300341330988a9a795223e5f007f4579ed99fce6d6,execution,execution,True,True,candidate,EX-02,False,candidate dtype-sensitive matmul probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,12.890784
r_hier,EX-02-B,EX-02,B,M3,Transformer Classifier,transformer,transformer,transformer,True,5ada85d964e5ee884873dc558d7385b82e7fae7f918c0b1f2fa4ce95927cb2d0,execution,execution,True,True,candidate,EX-02,False,candidate dtype-sensitive matmul probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,6.976864
r_hier,EX-03-A,EX-03,A,M1,CNN,cnn,cnn,cnn,True,54b7febc9de112b2350f32a352c7728b06028b188646eb864cb6d8219d142f13,execution,execution,True,True,candidate,EX-03,False,candidate high-rank permutation probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,9.943399
r_hier,EX-03-B,EX-03,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,a399ba4791391e0b4bbde68f90faf61e5d26ab7784f9c92eec4d47ac1b05113e,execution,execution,True,True,candidate,EX-03,False,candidate high-rank permutation probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,8.205935
r_hier,EX-04-A,EX-04,A,M2,Image MLP,mlp,mlp,mlp,True,615cdb78253a74a05430a6fc049e7c66f05be0a270ade12a9a52c2cb6ab92e08,execution,execution,True,True,candidate,EX-04,False,candidate index dtype probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,4.984069
r_hier,EX-04-B,EX-04,B,M3,Transformer Classifier,transformer,transformer,transformer,True,f5ac3428e77cf06b988448345d8664685db979c5ee7ad0ffd50ed78f73e54921,execution,execution,True,True,candidate,EX-04,False,candidate index dtype probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,17.856374
r_hier,EX-05-A,EX-05,A,M2,Image MLP,mlp,mlp,mlp,True,0ed6b9f6bc9277aa2a5ec7d62580351a35a126cc0cafc3744424d15b747551aa,execution,execution,True,True,candidate,EX-05,False,candidate input container contract probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,43.933275
r_hier,EX-05-B,EX-05,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,080db4534e539eb5c08ffc269f82d72aa82f399eda02dd14884bd3832019d1a9,execution,execution,True,True,candidate,EX-05,False,candidate input container contract probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,32.892969
r_hier,EX-06-A,EX-06,A,M3,Transformer Classifier,transformer,transformer,transformer,True,a260bcbf99536e99515086bb496e4a76a68f27c4de8f0274b953ebf2a322a1e7,execution,execution,True,True,core_operator,,False,tensor boundary type probe,False,False,True,True,True,0,0,2,,True,False,wrong_root_cause_hypothesis,,70.539979
r_hier,EX-06-B,EX-06,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,fbf2cf790315faa1ad8e1e08c0733a59ede888009171509290858323cfc1a8fa,execution,execution,True,True,core_operator,,False,tensor boundary type probe,True,True,True,True,True,0,1,1,verified_restored,True,True,,,73.043821
r_hier,EX-07-A,EX-07,A,M1,CNN,cnn,cnn,cnn,True,f318ce7b4d8c3d326113a827c6927d5cc6b6cc53451046d94e066b481599a136,execution,execution,True,True,core_operator,EX-07,False,BF16 embedding private probe,False,False,True,True,True,4,4,2,,True,False,repair_budget_exhausted,,228.171609
r_hier,EX-07-B,EX-07,B,M2,Image MLP,mlp,mlp,mlp,True,dadf013223acba7e6366024267ac652e235bc0d4e35c1f41efe1a8dc0cecfc14,execution,execution,True,True,core_operator,EX-07,False,BF16 embedding private probe,True,True,True,True,True,3,3,1,verified_restored,True,True,,,200.981326
r_hier,EX-08-A,EX-08,A,M1,CNN,cnn,cnn,cnn,True,f1d1779d07735b4aa07c25871167d5fea523b6e21323f7ec8e12174b8e83b22d,execution,execution,True,True,core_operator,EX-08,False,SDPA boundary private probe,True,True,True,True,True,3,3,2,verified_restored,True,True,,,204.17464
r_hier,EX-08-B,EX-08,B,M3,Transformer Classifier,transformer,transformer,transformer,True,6d1948d0ffd55953069c2ce68481249ca92ce10ce69ea64e0500a0367a67920f,execution,execution,True,True,core_operator,EX-08,False,SDPA boundary private probe,False,False,True,True,True,4,4,2,,True,False,repair_budget_exhausted,,414.664214
r_hier,EX-09-A,EX-09,A,M1,CNN,cnn,cnn,cnn,True,731f0c8d1b62499276018c1acb2325d87d1b8069aa0914a13b52532bd0804d9c,execution,execution,True,True,core_operator,EX-09,False,core overload registry contract probe,True,True,True,True,True,1,1,0,verified_restored,True,True,,,19.439482
r_hier,EX-09-B,EX-09,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,9d9265eb0c8a3218e777a229806befaab4aedd2afa11ec3d673115fc2042aa34,execution,execution,True,True,core_operator,EX-09,False,core overload registry contract probe,True,True,True,True,True,1,1,0,verified_restored,True,True,,,49.012711
r_hier,EX-10-A,EX-10,A,M2,Image MLP,mlp,mlp,mlp,True,032aa663b90d2e6a8d4d7fe85aefa23b79361d87932cd7c301642b91172afe17,execution,execution,True,True,core_operator,EX-10,False,core tuple/Tensor return protocol probe,True,True,True,True,True,1,1,0,verified_restored,True,True,,,25.070854
r_hier,EX-10-B,EX-10,B,M3,Transformer Classifier,transformer,transformer,transformer,True,759c1cc283f0cf31c073dea4980aee2f0f934bdf77e0beecdf561b1efb438fa9,execution,execution,True,True,core_operator,EX-10,False,core tuple/Tensor return protocol probe,True,True,True,True,True,1,1,0,verified_restored,True,True,,,52.643883
r_hier,NU-01-A,NU-01,A,M2,Image MLP,mlp,mlp,mlp,True,e9524ef2c561cf7df8094341ff26fb99f19e65c2990310442e034ecb2dc96005,numerical,numerical,True,True,candidate,NU-01,False,candidate residual numeric probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,12.315292
r_hier,NU-01-B,NU-01,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,bc53ff5c22beaf0e7b28d32b2a751b60b778520ea46756ea30e36774a0209748,numerical,numerical,True,True,candidate,NU-01,False,candidate residual numeric probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,6.208026
r_hier,NU-02-A,NU-02,A,M3,Transformer Classifier,transformer,transformer,transformer,True,776e2be4f443ac3f1c13f77972d93dbf7420c3bd50e592e9ab7ba869c446d1ae,numerical,numerical,True,True,candidate,,False,paired numeric softmax probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,15.652241
r_hier,NU-02-B,NU-02,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,f1a9d6afadb277898457f776927cb08c384d498947dee584605fbfd45bb8d9e8,numerical,numerical,True,True,candidate,,False,paired numeric softmax probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,63.417873
r_hier,NU-03-A,NU-03,A,M1,CNN,cnn,cnn,cnn,True,6bac8ed2930afd74b99c51467440506c8c1db1662ae2ebb386f0431183316a8e,numerical,numerical,True,True,core_operator,NU-03,False,boolean SDPA mask private probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,102.893882
r_hier,NU-03-B,NU-03,B,M2,Image MLP,mlp,mlp,mlp,True,ef0bd3362812a1592766c95b2210777709c96486c50d860ff0174e044887eb81,numerical,numerical,True,True,core_operator,NU-03,False,boolean SDPA mask private probe,False,False,True,True,True,4,4,2,,True,False,repair_budget_exhausted,,207.895836
