id,requirement,current_review,scope
P01,持久维护意见表，每次修改后检查；S6,按S69/S70授权核对检查点、当前分支、源码段落、官方文件哈希和两种差异稿；未执行实验、委派或远端写入。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
P02,先理清逻辑给方案，不直接照意见改；S1/S4/S6；S11 已授权落实,按S69/S70授权核对检查点、当前分支、源码段落、官方文件哈希和两种差异稿；未执行实验、委派或远端写入。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
P03,先把内容做好，不擅自按页数删正文；S4/S5,S69明确恢复九页压缩，取代S63暂停；本轮删除重复段句及缩短结论，保留方法、任务与结果。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
P04,方法图暂时不管，用户负责；S3/S4/S5；S34授权PPT重建，S35暂停，S39恢复最新参考图的PPT制作,按S69/S70授权核对检查点、当前分支、源码段落、官方文件哈希和两种差异稿；未执行实验、委派或远端写入。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
P05,保留既有工作、检查点、固定基线逐词对照；项目规则,按S69/S70授权核对检查点、当前分支、源码段落、官方文件哈希和两种差异稿；未执行实验、委派或远端写入。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
P06,审核不直接反馈给子 agent；S5,按S69/S70授权核对检查点、当前分支、源码段落、官方文件哈希和两种差异稿；未执行实验、委派或远端写入。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
P08,提交后提供同一固定基线的 LaTeX 差异 PDF，并保留 HTML 逐词对照；S17,HTML逐词对照及LaTeX差异PDF已按同一不可变0921基线更新；差异稿由最终源文本生成。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
W01,全文按统一行文风格，包括摘要、方法、结果、图注、表注；S1/S3/S5,复读整稿与本轮差异，精简重复总结及图表说明；原始数据和表格字节不变，完整术语、million单位及段落单行规则保持。旧措辞缺口未自动标记解决。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
W02,证据允许时坚定表达贡献、优势和适用范围；不因假想风险收缩 claim；S3/S5,复读整稿与本轮差异，精简重复总结及图表说明；原始数据和表格字节不变，完整术语、million单位及段落单行规则保持。旧措辞缺口未自动标记解决。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
W03,术语统一，不自造 task contract、Controller、LD/IEH/DCM 等；S3/S4,复读整稿与本轮差异，精简重复总结及图表说明；原始数据和表格字节不变，完整术语、million单位及段落单行规则保持。旧措辞缺口未自动标记解决。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
W04,少用冒号/分号串句和密集连字符；S1/S2/S3,复读整稿与本轮差异，精简重复总结及图表说明；原始数据和表格字节不变，完整术语、million单位及段落单行规则保持。旧措辞缺口未自动标记解决。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
W05,不要碎片化短段；S26曾要求未命名连续论述合并；S29明确恢复按逻辑分段，取代S26的合并规则；S3→S26→S29,复读整稿与本轮差异，精简重复总结及图表说明；原始数据和表格字节不变，完整术语、million单位及段落单行规则保持。旧措辞缺口未自动标记解决。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
W06,删除无用技术报告句、内部版本/运行记账；S2/S3/S4,复读整稿与本轮差异，精简重复总结及图表说明；原始数据和表格字节不变，完整术语、million单位及段落单行规则保持。旧措辞缺口未自动标记解决。,S69/S70 final source and PDF geometry; PDF SHA-256 2e895d212285eb92; no new experiments or complete visual-review claim
