task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
MF-01__r_hier,MF-01,r_hier,cnn,cnn,cnn,True,ex_boundary+nu_residual,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,5964,11286,17250,,104.28669503214769,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-01__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-01__r_hier.json
MF-02__r_hier,MF-02,r_hier,mlp,mlp,mlp,True,ex_dtype+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,43724,33465,77189,,334.83118507405743,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-02__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-02__r_hier.json
MF-03__r_hier,MF-03,r_hier,transformer,transformer,transformer,True,ex_index+nu_scale,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,21054,7721,28775,,81.74279070296325,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-03__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-03__r_hier.json
MF-04__r_hier,MF-04,r_hier,causal_lm,causal_lm,causal_lm,True,nu_sign+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,21129,8622,29751,,82.57242200197652,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-04__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-04__r_hier.json
MF-05__r_hier,MF-05,r_hier,cnn,cnn,cnn,True,ex_boundary+gr_freeze,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,6076,1703,7779,,21.88041870901361,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-05__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-05__r_hier.json
MF-06__r_hier,MF-06,r_hier,mlp,mlp,mlp,True,nu_residual+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,43585,41182,84767,,386.48681059409864,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-06__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-06__r_hier.json
MF-07__r_hier,MF-07,r_hier,transformer,transformer,transformer,True,ex_dtype+nu_sign,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,21403,31039,52442,,303.31094152200967,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-07__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-07__r_hier.json
MF-08__r_hier,MF-08,r_hier,causal_lm,causal_lm,causal_lm,True,ex_index+gr_step,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,7132,2354,9486,,28.325198099948466,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-08__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-08__r_hier.json
MF-09__r_hier,MF-09,r_hier,cnn,cnn,cnn,True,nu_scale+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,18422,14526,32948,,148.23407156695612,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-09__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-09__r_hier.json
MF-10__r_hier,MF-10,r_hier,mlp,mlp,mlp,True,ex_boundary+nu_sign,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,18452,4143,22595,,51.41529505606741,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-10__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-10__r_hier.json
MF-11__r_hier,MF-11,r_hier,transformer,transformer,transformer,True,ex_boundary+nu_residual+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,271476,41580,313056,,381.42971078003757,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-11__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-11__r_hier.json
MF-12__r_hier,MF-12,r_hier,causal_lm,causal_lm,causal_lm,True,ex_dtype+nu_scale+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,21569,18556,40125,,176.16596913407557,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-12__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-12__r_hier.json
MF-13__r_hier,MF-13,r_hier,cnn,cnn,cnn,True,ex_index+nu_sign+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,18680,5100,23780,,59.751487656030804,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-13__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-13__r_hier.json
MF-14__r_hier,MF-14,r_hier,mlp,mlp,mlp,True,ex_boundary+nu_scale+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,18927,17405,36332,,168.4431147929281,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-14__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-14__r_hier.json
MF-15__r_hier,MF-15,r_hier,transformer,transformer,transformer,True,ex_dtype+nu_residual+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,21280,9387,30667,,90.86942132306285,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-15__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-15__r_hier.json
MF-16__r_hier,MF-16,r_hier,causal_lm,causal_lm,causal_lm,True,ex_index+nu_scale+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,43814,28686,72500,,290.360772913089,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-16__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-16__r_hier.json
MF-17__r_hier,MF-17,r_hier,cnn,cnn,cnn,True,ex_boundary+nu_sign+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,18656,8844,27500,,96.41353046591394,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-17__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-17__r_hier.json
MF-18__r_hier,MF-18,r_hier,mlp,mlp,mlp,True,ex_dtype+nu_sign+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,43619,47878,91497,,433.81617741985247,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-18__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-18__r_hier.json
MF-19__r_hier,MF-19,r_hier,transformer,transformer,transformer,True,ex_index+nu_residual+gr_step,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,35959,24455,60414,,218.9867769421544,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-19__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-19__r_hier.json
MF-20__r_hier,MF-20,r_hier,causal_lm,causal_lm,causal_lm,True,ex_boundary+nu_scale+gr_zero,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,21731,12466,34197,,116.06480565806851,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/candidates/MF-20__r_hier.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_hier/raw/MF-20__r_hier.json
