task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
MF-01__r_direct,MF-01,r_direct,cnn,cnn,cnn,True,ex_boundary+nu_residual,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,5190,46296,51486,,396.6453309771605,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-01__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-01__r_direct.json
MF-02__r_direct,MF-02,r_direct,mlp,mlp,mlp,True,ex_dtype+gr_zero,mixed,True,True,False,,4,False,False,False,pass,fail,pass,pass,pass,three_stage_strict_probe,4,0,4,5202,28954,34156,,249.85173424100503,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-02__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-02__r_direct.json
MF-03__r_direct,MF-03,r_direct,transformer,transformer,transformer,True,ex_index+nu_scale,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2622,21848,24470,,185.49988372810185,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-03__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-03__r_direct.json
MF-04__r_direct,MF-04,r_direct,causal_lm,causal_lm,causal_lm,True,nu_sign+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2605,14306,16911,,120.01468544197269,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-04__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-04__r_direct.json
MF-05__r_direct,MF-05,r_direct,cnn,cnn,cnn,True,ex_boundary+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2656,3643,6299,,31.682524639880285,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-05__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-05__r_direct.json
MF-06__r_direct,MF-06,r_direct,mlp,mlp,mlp,True,nu_residual+gr_zero,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,1305,29313,30618,,269.88910944899544,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-06__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-06__r_direct.json
MF-07__r_direct,MF-07,r_direct,transformer,transformer,transformer,True,ex_dtype+nu_sign,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2647,20938,23585,,179.30691096698865,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-07__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-07__r_direct.json
MF-08__r_direct,MF-08,r_direct,causal_lm,causal_lm,causal_lm,True,ex_index+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2649,2629,5278,,23.60597974108532,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-08__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-08__r_direct.json
MF-09__r_direct,MF-09,r_direct,cnn,cnn,cnn,True,nu_scale+gr_freeze,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2665,25705,28370,,242.64425180689432,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-09__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-09__r_direct.json
MF-10__r_direct,MF-10,r_direct,mlp,mlp,mlp,True,ex_boundary+nu_sign,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2601,23455,26056,,209.08482309407555,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-10__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-10__r_direct.json
MF-11__r_direct,MF-11,r_direct,transformer,transformer,transformer,True,ex_boundary+nu_residual+gr_zero,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2608,21195,23803,,195.86998765706085,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-11__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-11__r_direct.json
MF-12__r_direct,MF-12,r_direct,causal_lm,causal_lm,causal_lm,True,ex_dtype+nu_scale+gr_step,mixed,True,True,False,,4,False,False,False,pass,fail,fail,pass,pass,three_stage_strict_probe,4,0,4,5210,45563,50773,,376.4411178021692,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-12__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-12__r_direct.json
MF-13__r_direct,MF-13,r_direct,cnn,cnn,cnn,True,ex_index+nu_sign+gr_freeze,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,3996,34141,38137,,293.6877275900915,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-13__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-13__r_direct.json
MF-14__r_direct,MF-14,r_direct,mlp,mlp,mlp,True,ex_boundary+nu_scale+gr_step,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,3917,25719,29636,,234.61913804896176,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-14__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-14__r_direct.json
MF-15__r_direct,MF-15,r_direct,transformer,transformer,transformer,True,ex_dtype+nu_residual+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,fail,pass,fail,fail,three_stage_strict_probe,4,0,4,5297,64030,69327,,554.6005807921756,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-15__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-15__r_direct.json
MF-16__r_direct,MF-16,r_direct,causal_lm,causal_lm,causal_lm,True,ex_index+nu_scale+gr_zero,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,3950,33184,37134,,299.5407416848466,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-16__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-16__r_direct.json
MF-17__r_direct,MF-17,r_direct,cnn,cnn,cnn,True,ex_boundary+nu_sign+gr_freeze,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,0,3,3986,19873,23859,,173.0950494511053,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-17__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-17__r_direct.json
MF-18__r_direct,MF-18,r_direct,mlp,mlp,mlp,True,ex_dtype+nu_sign+gr_zero,mixed,True,True,False,,4,False,False,False,pass,fail,fail,fail,fail,three_stage_strict_probe,4,0,4,5261,55365,60626,,453.63367291283794,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-18__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-18__r_direct.json
MF-19__r_direct,MF-19,r_direct,transformer,transformer,transformer,True,ex_index+nu_residual+gr_step,mixed,True,True,True,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,2,2608,22141,24749,,198.739244958153,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-19__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-19__r_direct.json
MF-20__r_direct,MF-20,r_direct,causal_lm,causal_lm,causal_lm,True,ex_boundary+nu_scale+gr_zero,mixed,True,True,True,4,4,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,4,0,4,5252,55684,60936,,497.97813808894716,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/candidates/MF-20__r_direct.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_direct/raw/MF-20__r_direct.json
