task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
EX-01-A__cnn__execution__EX-01__r_direct,EX-01-A,r_direct,cnn,cnn,cnn,True,EX-01,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1269,2124,3393,,39.071036,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-01-A__cnn__execution__EX-01__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-01-A__cnn__execution__EX-01__r_direct.json
EX-01-B__image_mlp__execution__EX-01__r_direct,EX-01-B,r_direct,image_mlp,mlp,mlp,True,EX-01,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1248,3867,5115,,66.444819,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-01-B__image_mlp__execution__EX-01__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-01-B__image_mlp__execution__EX-01__r_direct.json
EX-02-A__cnn__execution__EX-02__r_direct,EX-02-A,r_direct,cnn,cnn,cnn,True,EX-02,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1282,901,2183,,15.868026,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-02-A__cnn__execution__EX-02__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-02-A__cnn__execution__EX-02__r_direct.json
EX-02-B__transformer_classifier__execution__EX-02__r_direct,EX-02-B,r_direct,transformer_classifier,transformer,transformer,True,EX-02,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1311,1082,2393,,19.247291,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-02-B__transformer_classifier__execution__EX-02__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-02-B__transformer_classifier__execution__EX-02__r_direct.json
EX-03-A__cnn__execution__EX-03__r_direct,EX-03-A,r_direct,cnn,cnn,cnn,True,EX-03,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1305,1168,2473,,20.793665,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-03-A__cnn__execution__EX-03__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-03-A__cnn__execution__EX-03__r_direct.json
EX-03-B__tiny_causal_lm__execution__EX-03__r_direct,EX-03-B,r_direct,tiny_causal_lm,causal_lm,causal_lm,True,EX-03,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1376,1088,2464,,19.23295,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-03-B__tiny_causal_lm__execution__EX-03__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-03-B__tiny_causal_lm__execution__EX-03__r_direct.json
EX-04-A__image_mlp__execution__EX-04__r_direct,EX-04-A,r_direct,image_mlp,mlp,mlp,True,EX-04,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1258,707,1965,,12.97257,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-04-A__image_mlp__execution__EX-04__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-04-A__image_mlp__execution__EX-04__r_direct.json
EX-04-B__transformer_classifier__execution__EX-04__r_direct,EX-04-B,r_direct,transformer_classifier,transformer,transformer,True,EX-04,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1308,668,1976,,12.255737,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-04-B__transformer_classifier__execution__EX-04__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-04-B__transformer_classifier__execution__EX-04__r_direct.json
EX-05-A__image_mlp__execution__EX-05__r_direct,EX-05-A,r_direct,image_mlp,mlp,mlp,True,EX-05,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1248,753,2001,,13.485116,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-05-A__image_mlp__execution__EX-05__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-05-A__image_mlp__execution__EX-05__r_direct.json
EX-05-B__tiny_causal_lm__execution__EX-05__r_direct,EX-05-B,r_direct,tiny_causal_lm,causal_lm,causal_lm,True,EX-05,execution,True,True,True,1,1,True,True,True,not_measured,pass,not_measured,not_measured,not_measured,fault_group_proxy,1,0,1,1340,1766,3106,,30.756372,,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/candidates/EX-05-B__tiny_causal_lm__execution__EX-05__r_direct.py,experiments/experiment_request_20260820/08_experiment_H_multi_llm/runs_qwen3_7_plus_paid/qwen3.7-plus/seed_101/r_direct/r_direct/raw/EX-05-B__tiny_causal_lm__execution__EX-05__r_direct.json
