task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
TC-MLP-EX,TC-MLP-EX,c_hier,mlp,mlp,mlp,True,EX-01,execution,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,1576,576,2152,,55.253914,,experiments/baselines/track_c/c_hier/candidates/TC-MLP-EX.py,experiments/baselines/track_c/c_hier/raw/TC-MLP-EX.json
TC-MLP-NU,TC-MLP-NU,c_hier,mlp,mlp,mlp,True,NU-01,numerical,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,1590,3362,4952,,172.602083,,experiments/baselines/track_c/c_hier/candidates/TC-MLP-NU.py,experiments/baselines/track_c/c_hier/raw/TC-MLP-NU.json
TC-MLP-GR,TC-MLP-GR,c_hier,mlp,mlp,mlp,True,GR-01,gradient_update,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,1596,1462,3058,,68.161513,,experiments/baselines/track_c/c_hier/candidates/TC-MLP-GR.py,experiments/baselines/track_c/c_hier/raw/TC-MLP-GR.json
TC-CNN-EX,TC-CNN-EX,c_hier,cnn,cnn,cnn,True,EX-01,execution,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,1597,728,2325,,56.951565,,experiments/baselines/track_c/c_hier/candidates/TC-CNN-EX.py,experiments/baselines/track_c/c_hier/raw/TC-CNN-EX.json
TC-CNN-NU,TC-CNN-NU,c_hier,cnn,cnn,cnn,True,NU-01,numerical,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,1612,1002,2614,,63.578871,,experiments/baselines/track_c/c_hier/candidates/TC-CNN-NU.py,experiments/baselines/track_c/c_hier/raw/TC-CNN-NU.json
TC-CNN-GR,TC-CNN-GR,c_hier,cnn,cnn,cnn,True,GR-01,gradient_update,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,1625,817,2442,,62.294388,,experiments/baselines/track_c/c_hier/candidates/TC-CNN-GR.py,experiments/baselines/track_c/c_hier/raw/TC-CNN-GR.json
TC-MLP-EX,TC-MLP-EX,c_direct,mlp,mlp,mlp,True,EX-01,execution,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,876,1016,1892,,57.352449,,experiments/baselines/track_c/c_direct/candidates/TC-MLP-EX.py,experiments/baselines/track_c/c_direct/raw/TC-MLP-EX.json
TC-MLP-NU,TC-MLP-NU,c_direct,mlp,mlp,mlp,True,NU-01,numerical,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,2,0,1,881,23012,23893,,222.178063,,experiments/baselines/track_c/c_direct/candidates/TC-MLP-NU.py,experiments/baselines/track_c/c_direct/raw/TC-MLP-NU.json
TC-MLP-GR,TC-MLP-GR,c_direct,mlp,mlp,mlp,True,GR-01,gradient_update,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,879,4791,5670,,94.794635,,experiments/baselines/track_c/c_direct/candidates/TC-MLP-GR.py,experiments/baselines/track_c/c_direct/raw/TC-MLP-GR.json
TC-CNN-EX,TC-CNN-EX,c_direct,cnn,cnn,cnn,True,EX-01,execution,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,902,2277,3179,,70.50079,,experiments/baselines/track_c/c_direct/candidates/TC-CNN-EX.py,experiments/baselines/track_c/c_direct/raw/TC-CNN-EX.json
