id,requirement,current_review,scope
P01,持久维护意见表，每次修改后检查；S6,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
P02,先理清逻辑给方案，不直接照意见改；S1/S4/S6；S11 已授权落实,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
P03,先把内容做好，不擅自按页数删正文；S4/S5,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
P04,方法图暂时不管，用户负责；S3/S4/S5；S34授权PPT重建，S35暂停，S39恢复最新参考图的PPT制作,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
P05,保留既有工作、检查点、固定基线逐词对照；项目规则,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
P06,审核不直接反馈给子 agent；S5,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
P08,提交后提供同一固定基线的 LaTeX 差异 PDF，并保留 HTML 逐词对照；S17,按本轮授权、检查点、文件范围、基线对照及记录核对；无实验、子代理或远端写入。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W01,全文按统一行文风格，包括摘要、方法、结果、图注、表注；S1/S3/S5,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W02,证据允许时坚定表达贡献、优势和适用范围；不因假想风险收缩 claim；S3/S5,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W03,术语统一，不自造 task contract、Controller、LD/IEH/DCM 等；S3/S4,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W04,少用冒号/分号串句和密集连字符；S1/S2/S3,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W05,不要碎片化短段；S26曾要求未命名连续论述合并；S29明确恢复按逻辑分段，取代S26的合并规则；S3→S26→S29,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W06,删除无用技术报告句、内部版本/运行记账；S2/S3/S4,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
W07,数值、分母、预算、评价含义不变；缺测写 n/a；S5/项目规则,复读本轮修改与整稿，按humanizer及写作DNA核对术语和段落；不改范围外既有措辞，预算/成本和内部代号逐项核对。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A01,语义偏差问题后补到方法的逻辑，如 To address this；S1,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A02,删除摘要中的 and its loss initially agrees with the source；S1,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A03,摘要介绍 agent 组成，Orchestrator schedules their work and returns...；S1/S2,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A04,仓库上下文机制有名称，先讲解决什么问题；S1/S2,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A05,结果与跨范围结论合成一句；最新顺序为范围、最高节省、有效性；S1→S24,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A06,明确方法、基线、指标、集合与条件；最新摘要不写具体基线名；S5→S7,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A07,保留跨框架/语言有效性结论与 Generalization Across Frameworks 标题；S1/S5,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A08,创新点叫得出名字、贡献有对应机制与证据；S1/S2/S5,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A09,早期要求 MOST 式结论且不重复精确数字；后来确认加强结论中的定量证据；S3→S5,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A10,删除摘要 saved initial translations 的四/五、各对照零修复句；S7,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
A11,摘要以SOTA方法作比较、不具名；联网核对实际摘要写法；S7/S8→S23,摘要、引言、贡献和结论逐字比对起点未改，跨框架结论保持；A03/A04/A19及旧引用元数据缺口继续保留。,r4 final source/rendered geometry; no new experiments or full visual-review claim
